TableName,varName,longDescription
HD2004,FINTELE,"Financial aid office telephone number of the institution


"
HD2004,CONTROL,"A classification of whether an institution is operated by publicly elected or appointed officials or by privately elected or appointed officials and derives its major source of funds from private sources.

Public institution - An educational institution whose programs and activities are operated by publicly elected or appointed school officials and which is supported primarily by public funds. 

Private not-for-profit institution - A private institution in which the individual(s) or agency in control receives no compensation, other than wages, rent, or other expenses for the assumption of risk. These include both independent not-for-profit schools and those affiliated with a religious organization. 

Private for-profit institution - A private institution in which the individual(s) or agency in control receives compensation other than wages, rent, or other expenses for the assumption of risk. 



"
HD2004,CARNEGIE,"The 2000 Carnegie Classification includes all colleges and universities in the United States that are degree-granting and accredited by an agency recognized by the U.S. Secretary of Education.
The 2000 edition classifies institutions based on their degree-granting activities from 1995-96 through 1997-98.

15 Doctoral/Research Universities--Extensive: These institutions typically offer a wide range of baccalaureate programs, and they are committed to graduate education through the doctorate.
They award 50 or more doctoral degrees per year across at least 15 disciplines/2

16 Doctoral/Research Universities--Intensive:
These institutions typically offer a wide range of
baccalaureate programs, and they are committed to
graduate education through the doctorate.
They award at least ten doctoral degrees/1 per year across three or more disciplines,2 or at least 20 doctoral degrees per year overall.

21 Master’s Colleges and Universities I: These institutions typically offer a wide range of baccalaureate programs, and they are committed to graduate education through the master’s degree.
They award 40 or more master’s degrees per year
across three or more disciplines/2.

22 Master’s (Comprehensive) Colleges and Universities II: These institutions typically offer a wide range of baccalaureate programs, and they are committed to graduate education through the master’s degree.  They award 20 or more master’s degrees per year.

31 Baccalaureate Colleges--Liberal Arts: These institutions are primarily undergraduate colleges with major emphasis on baccalaureate programs.
They award at least half of their baccalaureate degrees in liberal arts fields./3

32 Baccalaureate Colleges--General: These institutions are primarily undergraduate colleges with major emphasis on baccalaureate programs.
They award less than half of their baccalaureate degrees in liberal arts fields./3

33 Baccalaureate/Associate’s Colleges:
These institutions are undergraduate colleges where the majority of conferrals are at the subbaccalaureate level (associate’s degrees and certificates), but bachelor’s degrees account for at least ten percent of undergraduate awards.

40 Associate’s Colleges: These institutions offer associate’s degree and certificate programs but, with few exceptions, award no baccalaureate degrees./4

Specialized Institutions - These institutions offer degrees ranging from the bachelor’s to the doctorate, and typically award a majority of degrees in a single field. The list includes only
institutions that are listed as separate campuses in the Higher Education Directory.
Specialized institutions include:

51 Theological seminaries and other specialized faith-related institutions:
These institutions primarily offer religious instruction or train members of the clergy.

52 Medical schools and medical centers:
These institutions award most of their professional degrees in medicine. In some instances, they include other health professions programs, such as dentistry, pharmacy, or nursing.

53 Other separate health profession schools: These institutions award most of their degrees in such fields as chiropractic, nursing, pharmacy, or podiatry.

54 Schools of engineering and technology: These institutions award most of their bachelor’s or graduate degrees in technical fields of study.

55 Schools of business and management: These institutions award most of their bachelor’s or graduate degrees in business or business-related programs.

56 Schools of art, music, and design: These institutions award most of their bachelor's or graduate degrees in art, music, design, architecture, or some combination of such fields.

57 Schools of law: These institutions award most of their degrees in law. 

58 Teachers colleges: These institutions award most of their bachelor’s or graduate degrees in education or education-related fields.

59 Other specialized institutions: Institutions in this category include graduate centers, maritime academies, military institutes, and institutions that do not fit any other classification category.

60 Tribal Colleges and Universities: These colleges are, with few exceptions, tribally controlled and located on reservations.
They are all members of the American Indian Higher Education Consortium.

NOTES ON DEFINITIONS
1. Doctoral degrees are as defined in the Integrated Postsecondary Education Data System (IPEDS) of the U.S. Department of Education's National Center for Education Statistics (NCES).
This includes the Ph.D. in any field as well as other doctoral-level degrees such as the Doctor of Education, Doctor of Juridical Science, and Doctor of Public Health. It excludes doctoral-level degrees defined as first-professional degrees in IPEDS.
For more information, see http://nces.ed.gov/ipeds.

2. Distinct disciplines are determined by the 4-digit series of the Classification of Instructional Programs published by NCES. For
more information, see
http://nces.ed.gov/pubsearch/pubsinfo.asp?pubid=91396.

3. Liberal arts fields include the following fields (as listed in the Classification of Instructional Programs):
English language and literature/letters; foreign languages and literatures; biological sciences/life sciences; mathematics; philosophy and religion; physical sciences; psychology ; social sciences and history; visual and performing arts; area, ethnic, and cultural studies; liberal arts and sciences, general studies, and humanities; and multi/interdisciplinary studies.

4. This group includes community, junior, and technical colleges.
Source: Carnegie Foundation
"
IC2004_AY,CINSOFF,"Cost of attendance for full-time, first-time degree/certificate seeking in-state undergraduate students living off campus (not with family) for academic year 2004-2005. It includes in-state tuition and fees, books and supplies, off campus (not with family) room and board, and other off campus (not with family) expenses.                                                                                                          
cinsoff=chg2ay3+chg4ay3+chg7ay3+chg8ay3   "
IC2004_AY,COTSOFF,"Cost of attendance for full-time, first-time degree/certificate seeking out-of-state undergraduate students living off campus (not with family) for academic year 2004-2005. It includes out-of-state tuition and fees, books and supplies, off campus (not with family) room and board, and other off campus (not with family) expenses.                                                                                                          
cotsoff=chg3ay3+chg4ay3+chg7ay3+chg8ay3"
IC2004_AY,CINSFAM,"Cost of attendance for full-time, first-time degree/certificate seeking in-state undergraduate students living off campus (with family) for academic year 2004-2005. It includes in-state tuition and fees, books and supplies, and other off campus (with family)expenses.                                                                                             
cinsfam=chg2ay3+chg4ay3+chg9ay3 "
IC2004_AY,COTSFAM,"Cost of attendance for full-time, first-time degree/certificate seeking out-of-state undergraduate students living off campus (with family) for academic year 2004-2005. It includes out-of-state tuition and fees, books and supplies, and other off campus (with family)expenses.                                                                                             
cotsfam=chg3ay3+chg4ay3+chg9ay3 "
IC2004_AY,TUITION2,"Charges to full-time undergraduate students for the full academic year 2004-05 

In-state average tuition

IN-STATE TUITION - The tuition charged by institutions to those students who meet the state's or institution's residency requirements. 
TUITION - Amount of money charged to students for instructional services. Tuition may be charged per term, per course, or per credit.
UNDERGRADUATE - A student enrolled in a 4- or 5-year bachelor's degree program, an associate's degree program, or a vocational or technical program below the baccalaureate. 
FULL-TIME STUDENT Undergraduate - A student enrolled for 12 or more semester credits, or 12 or more quarter credits, or 24 or more contact hours a week each term 
ACADEMIC YEAR - The period of time generally extending from September to June; usually equated to 2 semesters or trimesters, 3 quarters, or the period covered by a 4-1-4 plan. 

"
IC2004_AY,FEE2,"Charges to full-time undergraduate students for the full academic year 2004-05

In-state Required fees

IN-STATE FEES - The fees charged by institutions to those students who meet the state's or institution's residency requirements.
REQUIRED FEES - Fixed sum charged to students for items not covered by tuition and required of such a large proportion of all students that the student who does NOT pay the charge is an exception
UNDERGRADUATE - A student enrolled in a 4- or 5-year bachelor's degree program, an associate's degree program, or a vocational or technical program below the baccalaureate. 
FULL-TIME STUDENT Undergraduate - A student enrolled for 12 or more semester credits, or 12 or more quarter credits, or 24 or more contact hours a week each term 
ACADEMIC YEAR - The period of time generally extending from September to June;  usually equated to 2 semesters or trimesters, 3 quarters, or the period covered by a 4-1-4 plan. "
IC2004_AY,HRCHG2,"Per credit hour charge for part-time undergraduate students 

In-state per credit hour charge

IN-STATE PER CREDIT HOUR CHARGE - The amount charged by institutions to those students who meet the state's or institution's residency requirements.
CREDIT HOUR - A unit of measure representing an hour (50 minutes) of instruction over a 15-week period in a semester or trimester system or a 10-week period in a quarter system. It is applied toward the total number of hours needed for completing the requirements of a degree, diploma, certificate, or other formal award. 
UNDERGRADUATE - A student enrolled in a 4- or 5-year bachelor's degree program, an associate's degree program, or a vocational or technical program below the baccalaureate. 
PART-TIME STUDENT Undergraduate - A student enrolled for either 11 semester credits or less, or 11 quarter credits or less, or less than 24 contact hours a week each term. 

"
