TableName,varName,longDescription
HD2005,FINTELE,"Financial aid office telephone number of the institution


"
HD2005,CONTROL,"A classification of whether an institution is operated by publicly elected or appointed officials or by privately elected or appointed officials and derives its major source of funds from private sources.

Public institution - An educational institution whose programs and activities are operated by publicly elected or appointed school officials and which is supported primarily by public funds. 

Private not-for-profit institution - A private institution in which the individual(s) or agency in control receives no compensation, other than wages, rent, or other expenses for the assumption of risk. These include both independent not-for-profit schools and those affiliated with a religious organization. 

Private for-profit institution - A private institution in which the individual(s) or agency in control receives compensation other than wages, rent, or other expenses for the assumption of risk. 



"
HD2005,HOSPITAL,"A code to indicate whether the institution has hospital.

This variable was derived using Finance data.

If institution reported either revenues from Sales and services of hospitals GASB, hospital revenues (FASB), or expenses for hospital services (GASB or FASB) an institution was determined to have a hospital.  See glossary terms below.


Sales and services of hospitals (revenues) F1B06-GASB.  Revenues (net of discounts, allowances, and provisions for uncollectible accounts receivable) generated by hospitals from daily patient, special and other services. Revenues of health clinics that are part of a hospital should be included in this category, unless such clinics are part of the student health services program. 

Hospitals (revenues) F2D13-FASB.  Revenues generated by a hospital operated by the postsecondary institution. Includes gifts, grants, appropriations, research revenues, endowment income, and revenues of health clinics that are part of the hospital unless such clinics are part of the student health services program. Sales and service revenues are included net of patient contractual allowances. Revenues associated with the medical school are included elsewhere. Also includes all amounts appropriated by governments (federal, state, local) for the operation of hospitals. 

Hospital services (F1C121-GASB, F2E091-FASB).  Expenses associated with a hospital operated by the postsecondary institution (but not as a component unit) and reported as a part of the institution. This classification includes nursing expenses, other professional services, general services, administrative services, and fiscal services. Also included are information technology expenses, actual or allocated costs for operation and maintenance of plant, and depreciation related to hospital capital assets. FASB institutions also charge or allocate interest expense to hospitals. 

"
IC2005_AY,CINSOFF,"Cost of attendance for full-time, first-time degree/certificate seeking in-state undergraduate students living off campus (not with family) for academic year 2005-06. It includes in-state tuition and fees, books and supplies, off campus (not with family) room and board, and other off campus (not with family) expenses.                                                                                                          
cinsoff=chg2ay3+chg4ay3+chg7ay3+chg8ay3   "
IC2005_AY,COTSOFF,"Cost of attendance for full-time, first-time degree/certificate seeking out-of-state undergraduate students living off campus (not with family) for academic year 2005-06. It includes out-of-state tuition and fees, books and supplies, off campus (not with family) room and board, and other off campus (not with family) expenses.                                                                                                          
cotsoff=chg3ay3+chg4ay3+chg7ay3+chg8ay3"
IC2005_AY,CINSFAM,"Cost of attendance for full-time, first-time degree/certificate seeking in-state undergraduate students living off campus (with family) for academic year 2005-06. It includes in-state tuition and fees, books and supplies, and other off campus (with family)expenses.                                                                                             
cinsfam=chg2ay3+chg4ay3+chg9ay3 "
IC2005_AY,COTSFAM,"Cost of attendance for full-time, first-time degree/certificate seeking out-of-state undergraduate students living off campus (with family) for academic year 2005-06. It includes out-of-state tuition and fees, books and supplies, and other off campus (with family)expenses.                                                                                             
cotsfam=chg3ay3+chg4ay3+chg9ay3 "
IC2005_AY,TUITION2,"Charges to full-time undergraduate students for the full academic year 2005-06 

In-state average tuition

IN-STATE TUITION - The tuition charged by institutions to those students who meet the state's or institution's residency requirements. 
TUITION - Amount of money charged to students for instructional services. Tuition may be charged per term, per course, or per credit.
UNDERGRADUATE - A student enrolled in a 4- or 5-year bachelor's degree program, an associate's degree program, or a vocational or technical program below the baccalaureate. 
FULL-TIME STUDENT Undergraduate - A student enrolled for 12 or more semester credits, or 12 or more quarter credits, or 24 or more contact hours a week each term 
ACADEMIC YEAR - The period of time generally extending from September to June; usually equated to 2 semesters or trimesters, 3 quarters, or the period covered by a 4-1-4 plan."
IC2005_AY,FEE2,"Charges to full-time undergraduate students for the full academic year 2005-06

In-state Required fees

IN-STATE FEES - The fees charged by institutions to those students who meet the state's or institution's residency requirements.
REQUIRED FEES - Fixed sum charged to students for items not covered by tuition and required of such a large proportion of all students that the student who does NOT pay the charge is an exception
UNDERGRADUATE - A student enrolled in a 4- or 5-year bachelor's degree program, an associate's degree program, or a vocational or technical program below the baccalaureate. 
FULL-TIME STUDENT Undergraduate - A student enrolled for 12 or more semester credits, or 12 or more quarter credits, or 24 or more contact hours a week each term 
ACADEMIC YEAR - The period of time generally extending from September to June;  usually equated to 2 semesters or trimesters, 3 quarters, or the period covered by a 4-1-4 plan."
IC2005_AY,HRCHG2,"Per credit hour charge for part-time undergraduate students 

In-state per credit hour charge

IN-STATE PER CREDIT HOUR CHARGE - The amount charged by institutions to those students who meet the state's or institution's residency requirements.
CREDIT HOUR - A unit of measure representing an hour (50 minutes) of instruction over a 15-week period in a semester or trimester system or a 10-week period in a quarter system. It is applied toward the total number of hours needed for completing the requirements of a degree, diploma, certificate, or other formal award. 
UNDERGRADUATE - A student enrolled in a 4- or 5-year bachelor's degree program, an associate's degree program, or a vocational or technical program below the baccalaureate. 
PART-TIME STUDENT Undergraduate - A student enrolled for either 11 semester credits or less, or 11 quarter credits or less, or less than 24 contact hours a week each term. 

"
