varName,varTitle
NPT41_PRIV,"Average net price for $0-$30,000 family income (private for-profit and nonprofit institutions)"
NPT4_048_PRIV,"Average net price for $0-$48,000 family income (private for-profit and nonprofit institutions)"
NUM41_PRIV,"Number of Title IV students, $0-$30,000 family income (private for-profit and nonprofit institutions)"
NUM42_PRIV,"Number of Title IV students, $30,001-$48,000 family income (private for-profit and nonprofit institutions)"
NUM43_PRIV,"Number of Title IV students, $48,001-$75,000 family income (private for-profit and nonprofit institutions)"
NUM44_PRIV,"Number of Title IV students, $75,001-$110,000 family income (private for-profit and nonprofit institutions)"
NUM45_PRIV,"Number of Title IV students, $110,000+ family income (private for-profit and nonprofit institutions)"
LO_INC_DEATH_YR2_RT,"Percent of low-income (less than $30,000 in nominal family income) students who died within 2 years at original institution"
LO_INC_COMP_ORIG_YR2_RT,"Percent of low-income (less than $30,000 in nominal family income) students who completed within 2 years at original institution"
LO_INC_COMP_4YR_TRANS_YR2_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and completed within 2 years"
LO_INC_COMP_2YR_TRANS_YR2_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and completed within 2 years"
LO_INC_WDRAW_ORIG_YR2_RT,"Percent of low-income (less than $30,000 in nominal family income) students withdrawn from original institution within 2 years"
LO_INC_WDRAW_4YR_TRANS_YR2_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and withdrew within 2 years"
LO_INC_WDRAW_2YR_TRANS_YR2_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and withdrew within 2 years"
LO_INC_ENRL_ORIG_YR2_RT,"Percent of low-income (less than $30,000 in nominal family income) students who were still enrolled at original institution within 2 years"
LO_INC_ENRL_4YR_TRANS_YR2_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and were still enrolled within 2 years"
LO_INC_ENRL_2YR_TRANS_YR2_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and were still enrolled within 2 years"
LO_INC_UNKN_ORIG_YR2_RT,"Percent of low-income (less than $30,000 in nominal family income) students with status unknown within 2 years at original institution"
LO_INC_UNKN_4YR_TRANS_YR2_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and whose status is unknown within 2 years"
LO_INC_UNKN_2YR_TRANS_YR2_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and whose status is unknown within 2 years"
MD_INC_DEATH_YR2_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who died within 2 years at original institution"
MD_INC_COMP_ORIG_YR2_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who completed within 2 years at original institution"
MD_INC_COMP_4YR_TRANS_YR2_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and completed within 2 years"
MD_INC_COMP_2YR_TRANS_YR2_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and completed within 2 years"
MD_INC_WDRAW_ORIG_YR2_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students withdrawn from original institution within 2 years"
MD_INC_WDRAW_4YR_TRANS_YR2_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and withdrew within 2 years"
MD_INC_WDRAW_2YR_TRANS_YR2_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and withdrew within 2 years"
MD_INC_ENRL_ORIG_YR2_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who were still enrolled at original institution within 2 years"
MD_INC_ENRL_4YR_TRANS_YR2_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and were still enrolled within 2 years"
MD_INC_ENRL_2YR_TRANS_YR2_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and were still enrolled within 2 years"
MD_INC_UNKN_ORIG_YR2_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students with status unknown within 2 years at original institution"
MD_INC_UNKN_4YR_TRANS_YR2_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and whose status is unknown within 2 years"
